Stage ID,Stage Name,Executor Run Time (ms),GC Time (ms),Shuffle Read (MB),Shuffle Write (MB),Spill (MB)
0,distinct at CCJob.scala:44,16100,1558,0.0,5.024007,0.0
1,map at CCJob.scala:46,2458,222,5.024007,4.252223,0.0
2,mapPartitions at VertexRDD.scala:356,14738,1632,0.0,7.591484,0.0
3,mapPartitions at VertexRDDImpl.scala:247,2424,156,11.843707,0.001006,0.0
4,mapPartitions at VertexRDDImpl.scala:247,552,146,0.0,12.423866,0.0
5,mapPartitions at GraphImpl.scala:207,14932,1932,12.424872,7.252212,0.0
6,isEmpty at Pregel.scala:140,221,0,3.626445,0.0,0.0
13,mapPartitions at VertexRDDImpl.scala:251,468,56,3.625767,4.6264710000000004,0.0
14,mapPartitions at VertexRDDImpl.scala:247,405,0,0.0,9.506602,0.0
15,mapPartitions at GraphImpl.scala:207,2471,192,26.556939,8.154152,0.0
16,isEmpty at Pregel.scala:161,254,0,4.080851,0.0,0.0
26,mapPartitions at VertexRDDImpl.scala:251,446,0,4.073301,5.105912,0.0
27,mapPartitions at VertexRDDImpl.scala:247,389,0,0.0,9.51339,0.0
28,mapPartitions at GraphImpl.scala:207,1832,124,14.619302000000001,6.016882000000001,0.0
29,isEmpty at Pregel.scala:161,150,0,3.007526,0.0,0.0
42,mapPartitions at VertexRDDImpl.scala:247,634,0,3.009356,7.326287000000001,0.0
43,mapPartitions at VertexRDDImpl.scala:251,201,0,0.0,4.136839999999999,0.0
44,mapPartitions at GraphImpl.scala:207,1476,78,11.463127,6.421602,0.0
45,isEmpty at Pregel.scala:161,168,0,3.212512,0.0,0.0
61,mapPartitions at VertexRDDImpl.scala:251,340,28,3.20909,4.879709999999999,0.0
62,mapPartitions at VertexRDDImpl.scala:247,305,28,0.0,7.927524,0.0
63,mapPartitions at GraphImpl.scala:207,1400,58,12.807234000000001,6.654273,0.0
64,isEmpty at Pregel.scala:161,175,0,3.332755,0.0,0.0
83,mapPartitions at VertexRDDImpl.scala:251,332,0,3.321518,4.998018,0.0
84,mapPartitions at VertexRDDImpl.scala:247,277,0,0.0,7.590669,0.0
85,mapPartitions at GraphImpl.scala:207,1233,58,12.588687,4.303714,0.0
86,isEmpty at Pregel.scala:161,121,0,2.153194,0.0,0.0
108,mapPartitions at VertexRDDImpl.scala:247,429,0,2.15052,4.44053,0.0
109,mapPartitions at VertexRDDImpl.scala:251,176,0,0.0,3.094895,0.0
110,mapPartitions at GraphImpl.scala:207,1098,0,7.535425,2.0141400000000003,0.0
111,isEmpty at Pregel.scala:161,76,6,1.004265,0.0,0.0
136,mapPartitions at VertexRDDImpl.scala:247,262,0,1.009875,1.999378,0.0
137,mapPartitions at VertexRDDImpl.scala:251,106,0,0.0,1.473979,0.0
138,mapPartitions at GraphImpl.scala:207,594,0,3.473357,0.681746,0.0
139,isEmpty at Pregel.scala:161,28,0,0.34076,0.0,0.0
167,mapPartitions at VertexRDDImpl.scala:251,150,0,0.340986,0.504346,0.0
168,mapPartitions at VertexRDDImpl.scala:247,196,0,0.0,0.6641250000000001,0.0
169,mapPartitions at GraphImpl.scala:207,467,0,1.168471,0.20665799999999998,0.0
170,isEmpty at Pregel.scala:161,15,0,0.102896,0.0,0.0
201,mapPartitions at VertexRDDImpl.scala:247,165,10,0.103762,0.19917400000000002,0.0
202,mapPartitions at VertexRDDImpl.scala:251,117,0,0.0,0.148912,0.0
203,mapPartitions at GraphImpl.scala:207,473,0,0.348086,0.060169,0.0
204,isEmpty at Pregel.scala:161,18,0,0.02948,0.0,0.0
238,mapPartitions at VertexRDDImpl.scala:251,148,0,0.030689,0.045294,0.0
239,mapPartitions at VertexRDDImpl.scala:247,186,0,0.0,0.057998999999999995,0.0
240,mapPartitions at GraphImpl.scala:207,447,0,0.103293,0.016758,0.0
241,isEmpty at Pregel.scala:161,8,0,0.008076,0.0,0.0
278,mapPartitions at VertexRDDImpl.scala:251,165,10,0.008682,0.013097000000000001,0.0
279,mapPartitions at VertexRDDImpl.scala:247,142,0,0.0,0.016846,0.0
280,mapPartitions at GraphImpl.scala:207,408,0,0.029942999999999997,0.004595,0.0
281,isEmpty at Pregel.scala:161,8,0,0.002266,0.0,0.0
321,mapPartitions at VertexRDDImpl.scala:247,218,0,0.002329,0.005244,0.0
322,mapPartitions at VertexRDDImpl.scala:251,133,0,0.0,0.003815,0.0
323,mapPartitions at GraphImpl.scala:207,329,0,0.009059000000000001,0.001049,0.0
324,isEmpty at Pregel.scala:161,8,0,0.00053,0.0,0.0
367,mapPartitions at VertexRDDImpl.scala:247,133,0,0.000519,0.001771,0.0
368,mapPartitions at VertexRDDImpl.scala:251,98,0,0.0,0.0008,0.0
369,mapPartitions at GraphImpl.scala:207,351,0,0.002571,0.000472,0.0
370,isEmpty at Pregel.scala:161,9,0,0.000239,0.0,0.0
416,mapPartitions at VertexRDDImpl.scala:251,129,0,0.000233,0.00040899999999999997,0.0
417,mapPartitions at VertexRDDImpl.scala:247,126,0,0.0,0.0012309999999999999,0.0
418,mapPartitions at GraphImpl.scala:207,271,0,0.00164,7.3e-05,0.0
419,isEmpty at Pregel.scala:161,8,0,7.3e-05,0.0,0.0
468,mapPartitions at VertexRDDImpl.scala:251,139,0,0.0,0.000216,0.0
469,mapPartitions at VertexRDDImpl.scala:247,155,0,0.0,0.00102,0.0
470,mapPartitions at GraphImpl.scala:207,216,0,0.0012360000000000001,0.0,0.0
471,isEmpty at Pregel.scala:161,5,0,0.0,0.0,0.0
523,isEmpty at Pregel.scala:161,5,0,0.0,0.0,0.0
572,distinct at CCJob.scala:54,335,0,0.0,0.023441999999999998,0.0
573,count at CCJob.scala:54,41,0,0.023442,0.0,0.0
622,map at CCJob.scala:55,395,0,0.0,0.036492,0.0
623,sortBy at CCJob.scala:57,52,0,0.036492,0.0,0.0
672,parquet at CCJob.scala:62,4888,0,0.0,0.0,0.0
722,sortBy at CCJob.scala:57,143,0,0.036492,0.032695,0.0
723,csv at CCJob.scala:66,752,0,0.032695,0.0,0.0
